"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Microsoft","MSFT","2815992004608","375.39","United States"
"2","Tencent","TCEHY","597184872448","63.84","China"
"3","Sony","SONY","153084936192","25.39","Japan"
"4","Nintendo","7974.T","79572123448","68.1164","Japan"
"5","Sea Limited","SE","75048984576","130.49","Singapore"
"6","NetEase","NTES","66331324416","102.92","China"
"7","Roblox","RBLX","39417389056","58.29","United States"
"8","Electronic Arts","EA","37664514048","144.52","United States"
"9","Take 2 Interactive","TTWO","37147074560","207.25","United States"
"10","Aristocrat","ALL.AX","25631504144","40.9785","Australia"
"11","Bandai Namco","7832.T","21836111945","33.5409","Japan"
"12","Konami Holdings","9766.T","15766438240","116.309","Japan"
"13","Nexon","3659.T","11129405273","13.6199","Japan"
"14","Krafton","259960.KS","10503342453","231.013","South Korea"
"15","Capcom","9697.T","10206891713","24.4031","Japan"
"16","GameStop","GME","9978914816","22.32","United States"
"17","Unity Software","U","8414512640","19.59","United States"
"18","International Games System","3293.TWO","6842199844","24.2802","Taiwan"
"19","Zhejiang Century Huatong","002602.SZ","6686485242","0.897207","China"
"20","Kingsoft","3888.HK","6402425838","4.82561","China"
"21","Kunlun Tech","300418.SZ","5795692889","4.70621","China"
"22","CD Projekt","CDR.WA","5613691641","54.4892","Poland"
"23","Square Enix","9684.T","5594967384","46.5902","Japan"
"24","Entain","ENT.L","5232889412","7.44794","Isle of Man"
"25","Kingnet Network","002517.SZ","4727391890","2.21274","China"
"26","37 Interactive Entertainment","002555.SZ","4566340800","2.06413","China"
"27","Koei Tecmo","3635.T","4160424655","13.1727","Japan"
"28","Sega Sammy Holdings","6460.T","4113311018","19.2401","Japan"
"29","CyberAgent","4751.T","3909336961","7.71942","Japan"
"30","Giant Network Group","002558.SZ","3716679512","1.92101","China"
"31","Kadokawa","9468.T","3450312658","23.5487","Japan"
"32","Perfect World Entertainment","002624.SZ","3118047450","1.60727","China"
"33","Playtech","PTEC.L","2830056983","8.83156","Isle of Man"
"34","Zhejiang Jinke Tom Culture Industry","300459.SZ","2796392239","0.795376","China"
"35","DeNA","2432.T","2537831791","22.7878","Japan"
"36","Embracer Group","EMBRAC-B.ST","2401018569","10.5571","Sweden"
"37","Netmarble","251270.KS","2268569352","27.6876","South Korea"
"38","G-bits Network Technology","603444.SS","2238458927","31.072","China"
"39","SHIFT UP","462870.KS","2086213114","35.6711","South Korea"
"40","XD Inc.","2400.HK","2084454289","4.29871","China"
"41","NCsoft","036570.KS","2034124333","102.869","South Korea"
"42","Ourpalm","300315.SZ","2006345309","0.737581","China"
"43","Playtika","PLTK","1951669888","5.17","Israel"
"44","Paradox Interactive","PDX.ST","1906787232","18.0231","Sweden"
"45","Hangzhou Shunwang Technology","300113.SZ","1851761328","2.68474","China"
"46","Spin Master","TOY.TO","1754468988","16.7188","Canada"
"47","Ubisoft","UBI.PA","1748917920","11.5447","France"
